cod_ibge;municipios;renda_per_capita
3556206;Valinhos;483324.00
3556305;Valparaíso;437546.00
3556354;Vargem;7969199.00
3556404;Vargem Grande do Sul;1236296.00
3556453;Vargem Grande Paulista;153401.00
3556503;Várzea Paulista;1287388.00
3556602;Vera Cruz;2898202.00
3556701;Vinhedo;3965839.00
3556800;Viradouro;240193.00
3556909;Vista Alegre do Alto;12557908.00
3556958;Vitória Brasil;443704.00
3557006;Votorantim;425057.00
3557105;Votuporanga;45178.00
3557154;Zacarias;3919236.00
3557204;Chavantes;3862539.00
3557303;Estiva Gerbi;130188.00
2916401;Itapetinga;3805801
